window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
1,5474143107187,5474755167220,5474756675184,0.626347873,0.18305544802073884,0.47720259914362284,0,,0.568334,1.507964,7.999359782440471,50970624,132382720,56.75,2400000.0,0
2,5474760560445,5475373935017,5475374979147,1.244651836,0.17306464118188872,0.47720259914362284,0,,0.447426,1.04413,16.173471636540942,50987008,132382720,58.4,2400000.0,0
3,5475378400667,5475990249571,5475990958294,1.860630983,0.179173742703829,0.47720259914362284,0,,0.346482,0.708723,8.117270887866198,51019776,132382720,58.4,2400000.0,0
4,5475994898407,5476608570053,5476609385998,2.479058687,0.17635296022035618,0.47720259914362284,0,,0.433963,0.815945,6.468018636072796,51036160,132382720,57.85,2400000.0,0
5,5476612804962,5477226613850,5477227577924,3.097250613,0.16927679467136172,0.47720259914362284,0,,0.424778,0.964074,8.088072758344403,51036160,132382720,56.75,2400000.0,0
6,5477230905352,5477843327942,5477844288369,3.713961058,0.18475376459131673,0.47720259914362284,0,,0.458464,0.960427,8.107522324280986,51068928,132382720,56.75,2400000.0,0
7,5477847639833,5478460769887,5478461618239,4.331290928,0.15798215589718723,0.47720259914362284,0,,0.480592,0.848352,6.479497378393194,51068928,132382720,58.4,2400000.0,0
8,5478466926279,5479077969777,5479078944703,4.948617392,0.16947361610081893,0.47720259914362284,0,,0.507537,0.974926,8.09948712783992,51085312,132382720,56.75,1700000.0,0
9,5479084449706,5479696199556,5479697202316,5.566875005,0.17946093790432846,0.47720259914362284,0,,0.472334,1.00276,9.70470003361657,51085312,132382720,57.85,1700000.0,0
10,5479700570225,5480313517409,5480314939984,6.184612673,0.18547861108334676,0.47720259914362284,0,,0.618722,1.422575,9.71280929142596,51101696,132382720,56.75,2400000.0,0
11,5480318240078,5480931530059,5480932463338,6.802136027,0.18779400085483358,0.47720259914362284,0,,0.469649,0.933279,9.716259396568105,51101696,132382720,58.4,2400000.0,0
12,5480935880173,5481548388802,5481549231932,7.418904621,0.1779409435060728,0.47720259914362284,0,,0.433908,0.84313,8.10679226616887,51118080,132382720,57.85,2400000.0,0
13,5481554637675,5482166087619,5482166970601,8.03664329,4.0380850068902,0.47720259914362284,1,,0.427926,0.882982,6.475236267485219,51118080,132382720,57.85,2400000.0,0
14,5482172278252,5482784788048,5482785916623,8.655589312,1.9642310533853877,0.47720259914362284,1,,0.443704,1.128575,8.07822687353208,51134464,132382720,57.85,2400000.0,0
15,5482789234883,5483402622829,5483403678551,9.27335124,0.19458476385816148,0.47720259914362284,0,,0.434907,1.055722,9.712513171386847,51134464,132382720,57.85,2400000.0,0
16,5483407002331,5484018438035,5484019436072,9.889108761,0.18812461671815464,0.47720259914362284,0,,0.449963,0.998037,8.120041114234683,51150848,132382720,58.95,2400000.0,0
17,5484024988667,5484636765464,5484637620594,10.507293283,3.0287353074054075,0.47720259914362284,1,,0.419963,0.85513,11.323509394130056,51150848,132382720,58.4,2400000.0,0
18,5484640917337,5485254632301,5485255810283,11.125482972,3.2977514077948356,0.47720259914362284,1,,0.524963,1.177982,11.323281786585415,51150848,132382720,58.95,2400000.0,0
19,5485259410192,5485871633712,5485872539694,11.742212383,0.19565111010646427,0.47720259914362284,0,,0.338037,0.905982,11.350308632234675,51150848,132382720,57.85,2400000.0,0
20,5485877856326,5486489753920,5486490608310,12.360280999,0.174374272970392,0.47720259914362284,0,,0.429038,0.85439,8.089710396900454,51150848,132382720,58.4,2400000.0,0
21,5486494070978,5487106899239,5487107786536,12.977459225,1.7203891306888786,0.47720259914362284,1,,0.429593,0.887297,8.101389498795356,51150848,132382720,58.95,2400000.0,0
22,5487113132205,5487725183244,5487726273874,13.595946563,4.943235931585231,0.47720259914362284,1,,0.434537,1.09063,8.084232842752668,51150848,132382720,57.3,2400000.0,0
23,5487729635524,5488342094842,5488343214490,14.212887179,0.18878646923726985,0.47720259914362284,0,,0.422481,1.119648,6.483606594603179,51150848,132382720,56.75,2400000.0,0
24,5488348437585,5488960039236,5488960738884,14.830411573,0.18932824808892304,0.47720259914362284,0,,0.242389,0.699648,8.096884731697514,51150848,132382720,57.3,2400000.0,0
25,5488964335016,5489578975816,5489580147279,15.449819968,0.3692176687574475,0.47720259914362284,0,,0.472129,1.171463,6.457719510275688,51150848,132382720,57.3,2400000.0,0
26,5489583636133,5490195997247,5490197105377,16.066778066,5.476880195388769,0.47720259914362284,1,,0.455166,1.10813,9.725137215040366,51150848,132382720,57.85,1700000.0,0
27,5490200449898,5490813535698,5490814707420,16.684380109,1.2673215368986845,0.47720259914362284,1,,0.478426,1.171722,8.095817943160288,51150848,132382720,58.4,1700000.0,0
28,5490818085385,5491431261204,5491431888019,17.301560708,0.16552786233134498,0.47720259914362284,0,,0.302333,0.626815,8.101422774627705,51150848,132382720,59.5,2400000.0,0
29,5491435877817,5492049191007,5492050100193,17.919772882,0.1874763713532663,0.47720259914362284,0,,0.445316,0.909186,8.08781924955288,51150848,132382720,57.85,2400000.0,0
30,5492053568972,5492665826809,5492666830717,18.536503406,4.227530377619625,0.47720259914362284,1,,0.426963,1.003908,8.107265649272891,51150848,132382720,57.85,2400000.0,0
31,5492670139978,5493284235854,5493285277003,19.154949692,2.6178046939338393,0.47720259914362284,1,,0.431038,1.041149,8.084754486304531,51150848,132382720,57.85,2400000.0,0
32,5493288601245,5493902143621,5493903744788,19.773417477,0.19737137218874481,0.47720259914362284,0,,0.694111,1.601167,8.084425983923225,51150848,132382720,59.5,2400000.0,0
33,5493906809030,5494518366387,5494519264906,20.388937595,0.170491781966442,0.47720259914362284,0,,0.281112,0.898519,16.246650460560847,51150848,132382720,60.05,2400000.0,0
34,5494522692074,5495136573395,5495137603358,21.007276047,2.5935448615186387,0.47720259914362284,1,,0.438685,1.029963,6.468930731619326,51150848,132382720,58.95,2400000.0,0
35,5495140899137,5495754073403,5495755121644,21.624794333,4.00269071725468,0.47720259914362284,1,,0.433482,1.048241,9.716308267494526,51150848,132382720,58.4,2400000.0,0
36,5495758440534,5496371414300,5496372233578,22.241906267,0.1897738852140399,0.47720259914362284,0,,0.400204,0.819278,8.102248824525672,51150848,132382720,57.85,1700000.0,0
37,5496375775654,5496988650512,5496989671383,22.859344072,0.16996486255188667,0.47720259914362284,0,,0.47913,1.020871,8.09798381614706,51150848,132382720,57.85,1700000.0,0
38,5496993230810,5497607417206,5497608581392,23.478254081,1.4013783827429076,0.47720259914362284,1,,0.468333,1.164186,9.694473152730092,51150848,132382720,58.95,1700000.0,0
39,5497611969653,5498224546567,5498225678919,24.095351608,5.545554492194131,0.47720259914362284,1,,0.427537,1.132352,8.102416095108154,51150848,132382720,57.85,1700000.0,0
40,5498229034236,5498842366132,5498843547336,24.713220025,0.24020240584736108,0.47720259914362284,0,,0.526018,1.181204,9.710767634506013,51150848,132382720,57.85,1700000.0,0
41,5498846995893,5499458861123,5499459883660,25.329556349,0.1748881102534424,0.47720259914362284,0,,0.496889,1.022537,9.73498033083658,51150848,132382720,58.4,1600000.0,0
42,5499463374328,5500076635651,5500077699355,25.947372044,0.1993155489343034,0.47720259914362284,0,,0.471352,1.063704,8.093048589536085,51150848,132382720,58.4,1600000.0,0
43,5500081040838,5500694541680,5500695613532,26.565286221,5.230196536332833,0.47720259914362284,1,,0.430778,1.071852,9.71010205485566,51150848,132382720,57.3,2400000.0,0
44,5500698944367,5501312877079,5501313930506,27.183603195,1.7467830810612375,0.47720259914362284,1,,0.416889,1.053427,8.086463442947126,51150848,132382720,57.85,2400000.0,0
45,5501317244026,5501929560256,5501930454497,27.800127186,0.19382434759157027,0.47720259914362284,0,,0.4335,0.894241,8.10999616343701,51150848,132382720,58.95,2400000.0,0
46,5501933884092,5502547056174,5502548084249,28.417756938,0.19370631943028607,0.47720259914362284,0,,0.465648,1.028075,8.095464934796373,51150848,132382720,57.85,2400000.0,0
47,5502551394343,5503165240667,5503166309223,29.035981912,3.688086586574798,0.47720259914362284,1,,0.423704,1.068556,6.470100306954442,51150848,132382720,57.85,2400000.0,0
48,5503169657040,5503782064345,5503784383846,29.654056535,3.121964154912476,0.47720259914362284,1,,0.896352,2.319501,9.707449930506744,51150848,132382720,58.4,2400000.0,0
49,5503788392126,5504399913671,5504400890802,30.270563491,0.17544383944785868,0.47720259914362284,0,,0.315704,0.977131,12.976551611312555,51150848,132382720,58.4,2400000.0,0
50,5504404322322,5505018213424,5505019440203,30.889112892,0.17979039219356943,0.47720259914362284,0,,0.485241,1.226779,14.550164754179201,51150848,132382720,58.95,2400000.0,0
51,5505023109353,5505636505548,5505637647659,31.507320348,2.3389253140006994,0.47720259914362284,1,,0.459537,1.142111,9.705451909012812,51150848,132382720,57.85,1700000.0,0
52,5505640993198,5506252670652,5506253597912,32.123270601,4.777853522581029,0.47720259914362284,1,,0.378723,0.92726,9.741016250349192,51150848,132382720,58.4,1700000.0,0
53,5506258989266,5506870437961,5506871395573,32.741068262,0.17670204343190696,0.47720259914362284,0,,0.450038,0.957612,11.330613382904076,51150848,132382720,58.95,2400000.0,0
54,5506874977334,5507488191456,5507489073808,33.358746497,0.16206138927690006,0.47720259914362284,0,,0.4415,0.882352,9.713826274360969,51150848,132382720,58.4,2400000.0,0
55,5507494424847,5508106224284,5508107312044,33.976984733,0.9698386696101671,0.47720259914362284,1,,0.433019,1.08776,6.4699932984749156,51150848,132382720,60.05,2400000.0,0
56,5508110658897,5508723835742,5508725004557,34.594677246,5.552830156717448,0.47720259914362284,1,,0.430093,1.168815,9.713556306697212,51150848,132382720,58.95,2400000.0,0
57,5508728341151,5509341589940,5509342153033,35.211825722,0.6812692485965032,0.47720259914362284,1,,0.262592,0.563093,4.861085370984597,51150848,132382720,57.85,2400000.0,0
58,5509345706683,5509958315621,5509959182177,35.828854866,0.17118512872960068,0.47720259914362284,0,,0.394241,0.866556,9.723986821958526,51150848,132382720,58.95,2400000.0,0
59,5509965286291,5510577284265,5510578485877,36.448158566,0.19039995904913218,0.47720259914362284,0,,0.442241,1.201612,6.458843641190163,51150848,132382720,57.85,2400000.0,0
60,5510581831156,5511194403668,5511195430409,37.065103098,4.892696437917418,0.47720259914362284,1,,0.428352,1.026741,8.104494725697535,51150848,132382720,59.5,2400000.0,0
61,5511198761652,5511812436035,5511813392887,37.683065576,2.1184462191765143,0.47720259914362284,1,,0.465185,0.956852,9.709238345466172,51150848,132382720,58.4,2400000.0,0
62,5511816846370,5512430018309,5512431144698,38.300817387,0.18918892529811612,0.47720259914362284,0,,0.474111,1.126389,8.093905661847192,51150848,132382720,58.95,1600000.0,0
63,5512434653681,5513046866879,5513047797509,38.917470198,0.188646072013856,0.47720259914362284,0,,0.415518,0.93063,12.973339255911071,51150848,132382720,59.5,2400000.0,0
64,5513053095364,5513664291524,5513665341580,39.535014269,3.4564052082748353,0.47720259914362284,1,,0.414926,1.050056,9.715865850898737,51150848,132382720,57.85,2400000.0,0
65,5513670556064,5514283626744,5514284849893,40.154522582,3.6972812668862836,0.47720259914362284,1,,0.437889,1.223149,6.456728173219622,51150848,132382720,58.4,2400000.0,0
66,5514288179654,5514899477185,5514900349723,40.770022412,0.1936733569523265,0.47720259914362284,0,,0.448278,0.872538,8.123493266650067,51150848,132382720,57.85,2400000.0,0
